factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
afx_cf_c_recp_return_invest,0.005174074189068723,0.7501188819528333,5.0,8.0,0.3425895382062117
afx_bs_long_pay_total,-0.00515960538004771,-0.7617840916485226,1.0,8.0,0.4621554576839617
afx_cf_n_disp_subs_oth_biz,-0.0050991539168229755,-0.7754193920582443,1.0,8.0,0.2005912255868609
afx_bs_pur_resale_fa,0.005018684520387002,0.5020396966976398,7.0,8.0,0.3402108944396713
afx_bs_lt_payable,-0.004957043233874749,-1.0097731802463252,1.0,8.0,0.3486147499921958
afx_fi_saleexp_to_gr,0.004931578933704325,0.8082228360790307,7.0,8.0,0.19583068512579724
afx_fi_fcff,0.004915881904477387,0.5858579215249812,6.0,8.0,0.26998898213011124
afx_fi_daa,0.004864278454182935,0.8777020044736819,7.0,8.0,0.6016152886250979
afx_fi_ebit_ps,-0.004811173549924165,-0.28836259623942795,4.0,8.0,0.3949206170465695
afx_bs_ordin_risk_reser,0.004770244882554264,0.42159112348666045,6.0,8.0,0.3424923893834303
afx_cf_eff_fx_flu_cash,0.0047493695208766585,0.6860166735220881,5.0,8.0,0.17330537330593837
afx_fi_interst_income,-0.004740335658072916,-0.710045629364539,2.0,8.0,0.3009678245957402
afx_fi_current_exint,-0.004676221461176322,-0.8788718331322802,1.0,8.0,0.24356802506917632
afx_cf_stot_inflows_inv_act,0.004665634225806153,0.9187071783052236,6.0,8.0,0.47696712933766167
afx_fi_capital_rese_ps,-0.004639053366053863,-0.4621225078776903,2.0,8.0,0.4860159960064125
afx_bs_lt_amor_exp,-0.0046308707898197,-1.0019867338961652,1.0,8.0,0.5757480508189006
afx_bs_fix_assets_total,0.004624133936999096,0.5864766372746296,7.0,8.0,0.25634445640554726
afx_fi_total_revenue_ps,-0.004582644446186308,-0.6486455237058468,3.0,8.0,0.30317064262211973
afx_fi_revenue_ps,-0.0045803015279052214,-0.647916003315827,3.0,8.0,0.3295865970415531
afx_cf_n_incr_clt_loan_adv,0.004565814989198008,1.0042515600281277,7.0,8.0,0.25965620088628355
afx_is_int_income,0.004558716034128931,0.5145679020426613,7.0,8.0,0.44535603268635376
efx_lu_final,-0.004541439004045294,-0.2646896476227427,4.0,8.0,0.1552609129188965
afx_fi_netdebt,-0.004505159847990081,-0.8583076758629856,1.0,8.0,0.25385100666025406
afx_cf_oth_cash_pay_oper_act,-0.004461353760725366,-0.7481340759191152,1.0,8.0,0.11743241782163735
afx_bs_oth_cur_assets,-0.0044425056385191935,-0.4663513541809306,3.0,8.0,0.28767811298584056
afx_bs_decr_in_disbur,0.004365908906598311,0.6226729931532846,6.0,8.0,0.45840937995066355
afx_bs_lt_rec,-0.004317875927285628,-0.5471853829848112,3.0,8.0,0.2722189129517614
afx_fi_q_netprofit_yoy,0.004307678378802948,0.9221727228182682,7.0,8.0,0.4836719456931521
afx_fi_q_op_yoy,0.004269765304217941,0.9085218836676691,7.0,8.0,0.1279552096025272
afx_fi_undist_profit_ps,0.004251723999226062,0.25211668371346974,4.0,8.0,0.11999215368713086
afx_fi_q_finaexp_to_gr,-0.004241424293996819,-1.0951305989981799,1.0,8.0,0.1658080074887853
afx_bs_oth_comp_income,0.004234591509732278,2.4938714042323293,8.0,8.0,0.32271459493799814
afx_cf_n_incr_loans_oth_bank,0.004152146534952894,0.5451973174927774,6.0,8.0,0.20546367922353684
afx_bs_deriv_assets,0.004128212978259729,0.4654750524041846,6.0,8.0,0.32209964633079
afx_cf_stot_out_inv_act,0.004083318209750811,0.8540878299660531,7.0,8.0,0.2884691406992556
afx_fi_q_profit_yoy,0.004075732471721677,0.8784503432708531,7.0,8.0,0.36554092352771417
afx_bs_oth_ncl,-0.0040693917795970825,-0.46604018201283476,3.0,8.0,0.22792840605383385
afx_fi_ocfps,0.003985068702668194,0.27069874290981083,5.0,8.0,0.37924895726086855
afx_fi_fixed_assets,0.003979687924861638,0.540306218823299,6.0,8.0,0.28781508681470547
afx_fi_q_gr_qoq,0.003920105471825471,1.0348828149818605,7.0,8.0,0.7228262169545704
afx_fi_q_gsprofit_margin,0.0039166560975446435,1.0607911114694024,6.0,8.0,0.3705296854963746
afx_is_oth_compr_income,0.003907838306360632,0.7515856954638407,6.0,8.0,0.37421586882195707
afx_cf_ifc_cash_incr,0.003894245988762835,0.4417466679133559,6.0,8.0,0.3468177814313412
afx_fi_fcff_ps,0.0038881035129746592,0.4836799743061402,6.0,8.0,0.16924710559862624
afx_cf_stot_cashout_fnc_act,-0.003850198080699553,-0.737430261381388,1.0,8.0,0.20411990941487446
afx_fi_q_sales_qoq,0.0038341828023783896,1.0428824490144155,7.0,8.0,0.14962783914420552
afx_fi_rd_exp,0.0038156143778400107,0.2323292284746004,5.0,8.0,0.35490190799395044
afx_bs_deriv_liab,0.003760562144231884,0.4825738213296853,6.0,8.0,0.5214058649065493
efx_limit_openings,0.0037479801925501023,0.3760516845732769,3.0,6.0,0.13620023792157088
afx_cf_incl_cash_rec_saims,-0.003505990693834387,-0.5783938689531797,2.0,8.0,0.5344157471844406
afx_cf_c_disp_withdrwl_invest,0.003485733596332436,0.83006573965976,6.0,8.0,0.3309938930520092
mfx_ths_premium,0.003422303111724048,0.3163996767435713,5.0,8.0,0.15114527280567097
afx_bs_oth_debt_invest,0.0033678992235031497,0.37091752170444453,6.0,7.0,0.36499143814763185
afx_cf_c_paid_invest,0.003340354877010475,0.7886666048798038,7.0,8.0,0.3028576457155557
afx_bs_nca_within_1y,-0.0032140327297480306,-0.537698284243547,1.0,8.0,0.3890037143792599
afx_bs_special_rese,0.0031761983182590544,0.42005311059255973,6.0,8.0,0.3696102074948872
afx_bs_debt_invest,0.0031629654357406664,0.4087276495750795,4.0,7.0,0.42277000697446426
afx_fi_ocf_to_profit,0.0031508154317474264,0.8908540428859799,6.0,8.0,0.30162465168909924
efx_limit_float_fraction,0.0031232257248466028,0.5877889418447356,4.0,6.0,0.13242507130717948
afx_is_biz_tax_surchg,0.003106720255758668,0.6217378526904178,7.0,8.0,0.29466947763764323
afx_bs_trading_fl,0.0031003240535147428,0.41704106956203935,6.0,8.0,0.45350214809571954
afx_bs_oth_nca,-0.0030986537246931243,-0.3645689475467883,3.0,8.0,0.43923097639954645
afx_cf_c_fr_oth_operate_a,-0.0030973040337170703,-0.5988670782690798,3.0,8.0,0.3236551813910147
afx_bs_invest_real_estate,-0.0030711124324272598,-0.36166370684624727,4.0,8.0,0.16769321297103468
afx_bs_div_receiv,-0.003068111340808726,-0.34116363876467504,2.0,8.0,0.35801536324722344
afx_bs_payroll_payable,0.0030477025683912817,0.3119720545404449,4.0,8.0,0.592420451212629
afx_fi_ocf_to_opincome,0.0029899973770111223,0.8462371794830531,6.0,8.0,0.24939138427670343
qf_cash_margin_yoy_change,0.002977150779202067,0.6565890840474222,7.0,8.0,0.19094536332896797
afx_is_fin_exp_int_inc,-0.002954182661746367,-0.5116527374775646,1.0,7.0,0.2029104445995737
qf_sales_growth_floor_4q,0.0029473227926244752,0.1841601062156942,5.0,8.0,0.4427789924562819
afx_bs_produc_bio_assets,-0.002921685765870921,-0.49105889824923604,3.0,8.0,0.32093061946548646
afx_fi_op_to_liqdebt,-0.0028836563021044583,-0.4391523396781795,3.0,8.0,0.40526785615768457
afx_bs_oth_eqt_tools,0.0028268987819322394,1.3029188470526534,7.0,8.0,0.4572616704944712
afx_fi_fcfe,0.0026893714356904684,0.2809680807403123,6.0,8.0,0.24049004129052126
afx_cf_oth_pay_ral_inv_act,-0.0025911415095596557,-0.5680690142326301,2.0,8.0,0.4370523162259815
afx_fi_working_capital,0.0025868870999929726,0.4820439732589387,5.0,8.0,0.2840395120179603
afx_bs_lt_eqt_invest,-0.0025522374069143995,-0.31510532673099695,3.0,8.0,0.4680863884795409
afx_is_t_compr_income,0.002512172909011252,0.19129877147232247,5.0,8.0,0.5182534519284776
afx_fi_q_gr_yoy,0.0025025517847859424,0.35997301350355165,4.0,8.0,0.44584887028367953
afx_cf_end_bal_cash_equ,0.0024979140855716413,0.6737525101827233,6.0,8.0,0.2866334739604078
afx_fi_q_netprofit_qoq,0.002491418177767186,0.6787564659645277,6.0,8.0,0.4065817850703823
afx_cf_use_right_asset_dep,-0.0024884880258529258,-0.2500946873685567,2.0,6.0,0.33181947913946325
afx_fi_op_to_debt,-0.002486679707710929,-0.38466140387560677,3.0,8.0,0.27279186356879703
afx_is_ass_invest_income,0.0024728567046304246,0.29989264472264343,4.0,8.0,0.27089841702646794
afx_fi_eqt_to_debt,-0.002472340026051446,-0.44270751727561053,2.0,8.0,0.36249325476325545
afx_bs_int_payable,-0.0024555271078988104,-0.6915133844117888,2.0,8.0,0.6155794609561184
afx_fi_finaexp_of_gr,-0.0024349097731373327,-0.6839256843155449,2.0,8.0,0.2673350190012867
